"282376 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 486,24 0 150,88 175 760000 0 0 0 ""PKV"" 0 0 0 0 0 no "
"282384 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 650,91 0 216,95 175 760000 0 0 0 ""530"" 0 0 0 0 0 no "
"282525 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 698,14 0 219,91 175 760000 0 0 0 ""1511"" 0 0 0 0 0 no "
"282541 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 467,07 0 142,32 175 760000 0 0 0 ""849?"" 0 0 0 0 0 no "
"283002 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1038,72 0 327,61 175 760000 0 0 ? ""PKV"" 0 0 0 0 0 no "
"283101 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 664,45 0 220,27 175 760000 0 0 1 ""PKV"" 0 0 0 0 0 no "
"283192 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 618,78 0 210,63 175 760000 0 0 0 ""0472"" 0 0 0 0 0 no "
"283481 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 551,06 28,35 255,15 175 770000 0 0 6 ""5302"" 0 0 0 0 0 no "
"283705 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 461,25 11,57 155,02 175 770000 0 0 3 ""5302"" 0 0 0 0 0 no "
"283770 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 548,38 0 167,37 175 760000 0 0 5 ""5300"" 0 0 0 0 0 no "
"283861 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 468,36 0 143,97 175 760000 0 0 0 ""PKV"" 0 0 0 0 0 no "
"284091 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 424,78 0 123,65 175 760000 0 0 1 ""4862"" 0 0 0 0 0 no "
"299781 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 7071,86 0 4498,41 175 760000 0 2 3 ""2115"" 0 0 0 0 0 no "
"301531 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 507,41 0 153,44 175 760000 0 0 3 ""8492"" 0 0 0 0 0 no "
"310003 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 210,25 0 210,25 175 760000 0 0 6 ""2652"" 0 0 0 0 0 no "
"310011 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 846,75 0 846,75 175 760000 0 0 4 ""0472"" 0 0 0 0 0 no "
"310250 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 6200,98 0 6200,98 175 820000 0 0 0 ""8490"" 0 0 0 0 0 no "
"310573 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1662,09 0 1662,09 175 770000 0 0 3 ""3451"" 0 0 0 0 0 no "
"310615 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 2504,7 0 2504,7 175 710000 0 0 0 ""1511"" 0 0 0 0 0 no "
"310680 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 2152,45 0 2152,45 175 710000 0 0 0 ""0471"" 0 0 0 0 0 no "
"310730 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1919,99 0 1919,99 175 770000 0 0 0 ""1511"" 0 0 0 0 0 no "
"310854 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1595,47 0 1007,7 175 760000 0 0 6 ""PKV"" 0 0 0 0 0 no "
"310961 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 879,38 0 879,38 175 750000 0 0 3 ""1422"" 0 0 0 0 0 no "
"310979 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 914,24 0 914,24 175 750000 0 0 0 ""1511"" 0 0 0 0 0 no "
